Column1,Column2,Column3
畫作資訊,圖片連結,畫作名稱
編　　號AlmaTedema001作　　者亞瑪泰得瑪 Sir Lawrence Alma Tadema年　　份1885原作尺寸45 x 66.1 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次5334,https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema001.jpg,期望 Expectations
編　　號AlmaTedema002作　　者亞瑪泰得瑪 Sir Lawrence Alma Tadema年　　份1869原作尺寸58.5 x 46 cm原作材質油彩．畫板 Oil on panel瀏覽人次4147,https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema002.jpg,希臘婦女 A Greek Women
編　　號AlmaTedema003作　　者亞瑪泰得瑪 Sir Lawrence Alma Tadema年　　份1893原作尺寸45.1 x 62.8 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次4860,https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema003.jpg,無知的對手 Unconscious Rivals
編　　號AlmaTedema004作　　者亞瑪泰得瑪 Sir Lawrence Alma Tadema年　　份1895原作尺寸64 x 44.5 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次3839,https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema004.jpg,最佳位置 A Coign of Vantage
編　　號AlmaTedema005作　　者亞瑪泰得瑪 Sir Lawrence Alma Tadema年　　份1888原作尺寸132.1 x 213.9 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2959,https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema005.jpg,黑利阿迦八魯斯的玫瑰 The Roses of Heliogabalus
編　　號AlmaTedema006作　　者亞瑪泰得瑪 Sir Lawrence Alma Tadema年　　份1903原作尺寸69.1 x 42.2 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2325,https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema006.jpg,銀色最愛 Silver Favorites
編　　號AlmaTedema007作　　者亞瑪泰得瑪 Sir Lawrence Alma Tadema年　　份1902原作尺寸38.1 x 22.86 cm原作材質油彩．畫板 Oil on panel瀏覽人次2422,https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema007.jpg,粗心的傾訴 Unwelcome Confidences
編　　號AlmaTedema008作　　者亞瑪泰得瑪 Sir Lawrence Alma Tadema年　　份1893原作尺寸25.4 x 12.7 cm原作材質油彩．畫板 Oil on panel瀏覽人次3826,https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema008.jpg,祝福一路平安 God Speed
編　　號AlmaTedema009作　　者亞瑪泰得瑪 Sir Lawrence Alma Tadema年　　份1885原作尺寸65.4 x 91.4 cm原作材質油彩．畫板 Oil on panel瀏覽人次3834,https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema009.jpg,安東尼相遇克莉奧佩特拉 The Meeting of Antony and Cleopatra
編　　號AlmaTedema010作　　者亞瑪泰得瑪 Sir Lawrence Alma Tadema年　　份1867原作尺寸71 x 46.4 cm原作材質油彩．畫板 Oil on panel瀏覽人次3193,https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema010.jpg,奧古斯都時期的收藏家 The Collector Of Pictures At The Time Of Augustus
編　　號AlmaTedema011作　　者亞瑪泰得瑪 Sir Lawrence Alma Tadema年　　份1900原作尺寸77.5 x 41.3 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2846,https://www.ss.net.tw/images/product_images/popup_images/AlmaTedema011.jpg,枉然之戀 Vain Courtship
